device: cpu | num_envs: 8
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
upd    1 | step     2048 |   140 sps | ret     3.60 | succ 0.18 | mean_lvl 13.2 | max_lvl 15 | cur 1/10 pb 0.0 | focus (432,55) f=0.99 | kl +0.0051 | ent 3.608
upd   60 | step   122880 |   142 sps | ret    14.40 | succ 0.72 | mean_lvl 14.2 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.16 | kl +0.0027 | ent 1.435
upd   61 | step   124928 |   143 sps | ret    15.60 | succ 0.78 | mean_lvl 14.4 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.24 | kl +0.0010 | ent 1.397
upd   62 | step   126976 |   143 sps | ret    14.80 | succ 0.74 | mean_lvl 14.3 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.25 | kl +0.0009 | ent 1.433
upd   63 | step   129024 |   143 sps | ret    14.80 | succ 0.74 | mean_lvl 14.3 | max_lvl 15 | cur 2/10 pb 0.0 | focus (432,55) f=0.06 | kl +0.0024 | ent 1.399
upd   64 | step   131072 |   143 sps | ret    17.80 | succ 0.89 | mean_lvl 14.7 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.15 | kl +0.0008 | ent 1.446
upd   65 | step   133120 |   143 sps | ret    16.40 | succ 0.82 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.1 | kl +0.0028 | ent 1.407
upd   66 | step   135168 |   143 sps | ret    17.20 | succ 0.86 | mean_lvl 14.6 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.25 | kl +0.0020 | ent 1.384
upd   67 | step   137216 |   143 sps | ret    16.40 | succ 0.82 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.39 | kl +0.0007 | ent 1.414
upd   68 | step   139264 |   143 sps | ret    16.80 | succ 0.84 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.47 | kl +0.0036 | ent 1.424
upd   69 | step   141312 |   144 sps | ret    15.40 | succ 0.77 | mean_lvl 14.3 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.15 | kl +0.0023 | ent 1.421
upd   70 | step   143360 |   144 sps | ret    17.20 | succ 0.86 | mean_lvl 14.6 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.15 | kl +0.0027 | ent 1.390
upd   71 | step   145408 |   144 sps | ret    16.60 | succ 0.83 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.25 | kl +0.0017 | ent 1.374
upd   72 | step   147456 |   144 sps | ret    17.00 | succ 0.85 | mean_lvl 14.6 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.16 | kl +0.0019 | ent 1.385
upd   73 | step   149504 |   144 sps | ret    16.80 | succ 0.84 | mean_lvl 14.6 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.26 | kl +0.0020 | ent 1.403
upd   74 | step   151552 |   144 sps | ret    16.80 | succ 0.84 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.24 | kl +0.0029 | ent 1.394
upd   75 | step   153600 |   144 sps | ret    16.60 | succ 0.83 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.29 | kl +0.0063 | ent 1.392
upd   76 | step   155648 |   144 sps | ret    16.60 | succ 0.83 | mean_lvl 14.5 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.34 | kl +0.0014 | ent 1.385
upd   77 | step   157696 |   144 sps | ret    15.80 | succ 0.79 | mean_lvl 14.4 | max_lvl 15 | cur 2/10 pb 0.0 | focus (22,56) f=0.21 | kl +0.0018 | ent 1.379
