device: cpu | num_envs: 8
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
upd    1 | step     2048 |   147 sps | ret     0.20 | succ 0.01 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=1.0 | kl +0.0013 | ent 3.610
upd   30 | step    61440 |   175 sps | ret    14.00 | succ 0.70 | mean_lvl 11.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.28 | kl +0.0003 | ent 2.208
upd   31 | step    63488 |   176 sps | ret    14.40 | succ 0.72 | mean_lvl 11.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.28 | kl +0.0000 | ent 2.215
upd   32 | step    65536 |   176 sps | ret    15.00 | succ 0.75 | mean_lvl 11.3 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.21 | kl +0.0000 | ent 2.212
upd   33 | step    67584 |   177 sps | ret    15.60 | succ 0.78 | mean_lvl 11.4 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.22 | kl +0.0007 | ent 2.234
upd   34 | step    69632 |   177 sps | ret    14.60 | succ 0.73 | mean_lvl 11.3 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.36 | kl +0.0013 | ent 2.260
upd   35 | step    71680 |   177 sps | ret    14.00 | succ 0.70 | mean_lvl 11.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.25 | kl +0.0007 | ent 2.282
upd   36 | step    73728 |   177 sps | ret    16.00 | succ 0.80 | mean_lvl 11.4 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.17 | kl +0.0007 | ent 2.254
upd   37 | step    75776 |   177 sps | ret    13.40 | succ 0.67 | mean_lvl 11.1 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.31 | kl +0.0015 | ent 2.209
upd   38 | step    77824 |   178 sps | ret    16.80 | succ 0.84 | mean_lvl 11.6 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.14 | kl +0.0005 | ent 2.155
upd   39 | step    79872 |   178 sps | ret    16.00 | succ 0.80 | mean_lvl 11.4 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.18 | kl +0.0011 | ent 2.186
upd   40 | step    81920 |   178 sps | ret    16.00 | succ 0.80 | mean_lvl 11.5 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0010 | ent 2.205
upd   41 | step    83968 |   179 sps | ret    13.20 | succ 0.66 | mean_lvl 11.1 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.23 | kl +0.0013 | ent 2.287
upd   42 | step    86016 |   179 sps | ret    10.60 | succ 0.53 | mean_lvl 10.7 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.99 | kl +0.0073 | ent 2.455
upd   43 | step    88064 |   179 sps | ret     8.20 | succ 0.41 | mean_lvl 10.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.96 | kl +0.0026 | ent 2.632
upd   44 | step    90112 |   180 sps | ret     5.00 | succ 0.25 | mean_lvl  9.9 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.92 | kl +0.0031 | ent 2.966
upd   45 | step    92160 |   180 sps | ret     4.40 | succ 0.22 | mean_lvl  9.8 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0031 | ent 3.081
upd   46 | step    94208 |   180 sps | ret     3.80 | succ 0.19 | mean_lvl  9.6 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0016 | ent 3.139
upd   47 | step    96256 |   180 sps | ret     3.60 | succ 0.18 | mean_lvl  9.6 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0018 | ent 3.152
upd   48 | step    98304 |   179 sps | ret     3.80 | succ 0.19 | mean_lvl  9.6 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0007 | ent 3.279
upd   49 | step   100352 |   179 sps | ret     2.60 | succ 0.13 | mean_lvl  9.4 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0031 | ent 3.214
upd   50 | step   102400 |   179 sps | ret     5.60 | succ 0.28 | mean_lvl  9.8 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=1.0 | kl +0.0029 | ent 3.108
saved checkpoints/L11\ppo_102400.pt
upd   51 | step   104448 |   179 sps | ret     3.40 | succ 0.17 | mean_lvl  9.5 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.99 | kl +0.0034 | ent 3.084
upd   52 | step   106496 |   178 sps | ret     4.60 | succ 0.23 | mean_lvl  9.7 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.93 | kl +0.0031 | ent 3.040
upd   53 | step   108544 |   178 sps | ret     4.20 | succ 0.21 | mean_lvl  9.7 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.93 | kl +0.0053 | ent 3.037
upd   54 | step   110592 |   178 sps | ret     7.00 | succ 0.35 | mean_lvl 10.2 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.94 | kl +0.0041 | ent 2.821
upd   55 | step   112640 |   177 sps | ret     5.80 | succ 0.29 | mean_lvl 10.0 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.57 | kl +0.0036 | ent 2.771
upd   56 | step   114688 |   178 sps | ret     8.00 | succ 0.40 | mean_lvl 10.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.82 | kl +0.0036 | ent 2.543
upd   57 | step   116736 |   178 sps | ret    11.00 | succ 0.55 | mean_lvl 10.8 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.6 | kl -0.0005 | ent 2.348
upd   58 | step   118784 |   178 sps | ret    10.40 | succ 0.52 | mean_lvl 10.8 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.49 | kl +0.0048 | ent 2.262
upd   59 | step   120832 |   178 sps | ret    12.20 | succ 0.61 | mean_lvl 10.9 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.55 | kl +0.0021 | ent 2.170
upd   60 | step   122880 |   179 sps | ret    13.40 | succ 0.67 | mean_lvl 11.2 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.55 | kl +0.0022 | ent 2.115
upd   61 | step   124928 |   179 sps | ret    13.60 | succ 0.68 | mean_lvl 11.2 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.37 | kl +0.0024 | ent 2.057
upd   62 | step   126976 |   179 sps | ret    13.20 | succ 0.66 | mean_lvl 11.1 | max_lvl 12 | cur 2/10 pb 0.0 | focus (302,104) f=0.4 | kl +0.0016 | ent 2.041
upd   63 | step   129024 |   179 sps | ret    13.60 | succ 0.68 | mean_lvl 11.1 | max_lvl 12 | cur 2/10 pb 0.0 | focus (302,104) f=0.4 | kl +0.0022 | ent 2.029
upd   64 | step   131072 |   180 sps | ret    15.00 | succ 0.75 | mean_lvl 11.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.28 | kl +0.0016 | ent 1.997
upd   65 | step   133120 |   180 sps | ret    15.20 | succ 0.76 | mean_lvl 11.4 | max_lvl 12 | cur 2/10 pb 0.0 | focus (302,104) f=0.3 | kl +0.0006 | ent 2.027
upd   66 | step   135168 |   180 sps | ret    15.60 | succ 0.78 | mean_lvl 11.4 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.26 | kl +0.0012 | ent 2.042
upd   67 | step   137216 |   180 sps | ret    14.40 | succ 0.72 | mean_lvl 11.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.23 | kl +0.0010 | ent 2.096
upd   68 | step   139264 |   181 sps | ret    14.80 | succ 0.74 | mean_lvl 11.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (302,104) f=0.36 | kl +0.0011 | ent 2.095
upd   69 | step   141312 |   181 sps | ret    15.00 | succ 0.75 | mean_lvl 11.4 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.32 | kl +0.0012 | ent 2.055
upd   70 | step   143360 |   181 sps | ret    14.80 | succ 0.74 | mean_lvl 11.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.3 | kl +0.0031 | ent 1.994
upd   71 | step   145408 |   181 sps | ret    15.20 | succ 0.76 | mean_lvl 11.3 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.28 | kl +0.0011 | ent 1.998
upd   72 | step   147456 |   182 sps | ret    14.20 | succ 0.71 | mean_lvl 11.2 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.6 | kl +0.0030 | ent 1.990
upd   73 | step   149504 |   182 sps | ret     8.00 | succ 0.40 | mean_lvl 10.7 | max_lvl 12 | cur 2/10 pb 0.0 | focus (152,161) f=0.34 | kl +0.0015 | ent 1.883
upd   74 | step   151552 |   182 sps | ret     8.80 | succ 0.44 | mean_lvl 10.8 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.9 | kl +0.0023 | ent 1.791
upd   75 | step   153600 |   182 sps | ret     5.80 | succ 0.29 | mean_lvl 10.5 | max_lvl 12 | cur 2/10 pb 0.0 | focus (302,104) f=0.16 | kl +0.0028 | ent 1.727
upd   76 | step   155648 |   182 sps | ret     7.20 | succ 0.36 | mean_lvl 10.6 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=1.0 | kl +0.0048 | ent 1.626
upd   77 | step   157696 |   182 sps | ret     6.20 | succ 0.31 | mean_lvl 10.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl -0.0008 | ent 1.644
upd   78 | step   159744 |   182 sps | ret     5.60 | succ 0.28 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=1.0 | kl +0.0032 | ent 1.514
upd   79 | step   161792 |   181 sps | ret     3.60 | succ 0.18 | mean_lvl 10.1 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.91 | kl +0.0021 | ent 1.577
upd   80 | step   163840 |   181 sps | ret     5.80 | succ 0.29 | mean_lvl 10.4 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0018 | ent 1.641
upd   81 | step   165888 |   181 sps | ret     4.00 | succ 0.20 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0018 | ent 1.476
upd   82 | step   167936 |   181 sps | ret     4.20 | succ 0.21 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0023 | ent 1.594
upd   83 | step   169984 |   180 sps | ret     5.20 | succ 0.26 | mean_lvl 10.4 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0011 | ent 1.628
upd   84 | step   172032 |   180 sps | ret     4.60 | succ 0.23 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0021 | ent 1.574
upd   85 | step   174080 |   180 sps | ret     5.00 | succ 0.25 | mean_lvl 10.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.9 | kl +0.0016 | ent 1.671
upd   86 | step   176128 |   180 sps | ret     3.20 | succ 0.16 | mean_lvl 10.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.92 | kl +0.0032 | ent 1.754
upd   87 | step   178176 |   180 sps | ret     4.80 | succ 0.24 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0026 | ent 1.750
upd   88 | step   180224 |   180 sps | ret     4.60 | succ 0.23 | mean_lvl 10.3 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0017 | ent 1.866
upd   89 | step   182272 |   180 sps | ret     5.40 | succ 0.27 | mean_lvl 10.3 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0036 | ent 1.913
upd   90 | step   184320 |   180 sps | ret     5.40 | succ 0.27 | mean_lvl 10.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.98 | kl +0.0007 | ent 1.952
upd   91 | step   186368 |   180 sps | ret     4.20 | succ 0.21 | mean_lvl 10.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.98 | kl +0.0039 | ent 1.991
upd   92 | step   188416 |   180 sps | ret     5.20 | succ 0.26 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0025 | ent 2.091
upd   93 | step   190464 |   180 sps | ret     5.40 | succ 0.27 | mean_lvl 10.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.92 | kl +0.0061 | ent 2.192
upd   94 | step   192512 |   180 sps | ret     5.40 | succ 0.27 | mean_lvl 10.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.99 | kl +0.0090 | ent 2.289
upd   95 | step   194560 |   180 sps | ret     5.60 | succ 0.28 | mean_lvl 10.3 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.99 | kl +0.0067 | ent 2.356
upd   96 | step   196608 |   180 sps | ret     5.00 | succ 0.25 | mean_lvl 10.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.94 | kl +0.0045 | ent 2.431
upd   97 | step   198656 |   180 sps | ret     6.20 | succ 0.31 | mean_lvl 10.3 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.97 | kl +0.0069 | ent 2.497
upd   98 | step   200704 |   180 sps | ret     6.00 | succ 0.30 | mean_lvl 10.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.82 | kl +0.0057 | ent 2.526
upd   99 | step   202752 |   180 sps | ret     6.00 | succ 0.30 | mean_lvl 10.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.99 | kl +0.0066 | ent 2.588
upd  100 | step   204800 |   181 sps | ret     6.40 | succ 0.32 | mean_lvl 10.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.98 | kl +0.0010 | ent 2.620
saved checkpoints/L11\ppo_204800.pt
upd  101 | step   206848 |   181 sps | ret     8.60 | succ 0.43 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.86 | kl +0.0025 | ent 2.558
upd  102 | step   208896 |   181 sps | ret     7.40 | succ 0.37 | mean_lvl 10.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.6 | kl +0.0037 | ent 2.584
